佛	32
否	12
夫	23
敷	6
肤	6
孵	5
扶	139
拂	34
辐	1
幅	502
氟	9
符	146
伏	36
俘	6
服	67
浮	41
涪	1
福	75
袱	1
弗	1
甫	26
抚	5
辅	35
俯	12
釜	1
斧	10
脯	1
腑	1
府	28
腐	20
赴	607
副	6967
覆	12
赋	21
复	68
傅	356
付	178
阜	1
父	59
腹	18
负	488
富	319
讣	1
附	1689
妇	7
缚	6
咐	1
噶	1
嘎	3
该	2485
改	676
概	7
钙	25
盖	262
溉	1
干	1499
甘	80
杆	45
柑	6
竿	4
肝	20
赶	228
感	232
秆	2
敢	444
赣	32
冈	1
刚	810
钢	99
缸	33
肛	1
纲	32
岗	147
港	450
杠	9
篙	2
皋	1
高	6253
膏	5
羔	2
糕	2
搞	1644
镐	9
稿	94
告	126
哥	26
歌	341
搁	22
戈	18
鸽	13
胳	1
疙	1
割	70
革	19
葛	132
格	48
蛤	1
阁	13
隔	144
铬	7
个	17171
各	4288
给	5485
根	301
跟	413
耕	33
更	7014
庚	9
羹	2
埂	1
耿	43
梗	7
工	137
攻	126
功	133
恭	5
龚	310
供	351
躬	11
公	151
宫	42
弓	13
巩	23
汞	7
拱	11
贡	5
共	2278
钩	18
勾	27
沟	66
苟	21
狗	67
垢	6
构	8
购	181
够	310
辜	47
菇	6
咕	1
箍	3
估	7
沽	1
孤	23
姑	5
鼓	71
古	474
蛊	1
骨	33
谷	130
股	538
故	106
顾	363
固	42
雇	34
刮	85
瓜	49
剐	1
寡	10
挂	409
褂	1
乖	3
拐	23
怪	81
棺	3
关	464
官	353
冠	56
观	119
管	715
馆	101
罐	13
惯	58
灌	28
贯	8
光	454
广	403
逛	72
瑰	1
规	18
圭	3
硅	6
归	264
龟	54
闺	1
轨	18
鬼	23
诡	1
癸	1
桂	71
柜	8
跪	44
贵	174
刽	1
辊	1
滚	55
棍	5
锅	82
郭	631
国	5511
果	150
裹	44
过	5095
哈	221
骸	1
孩	5
海	431
氦	5
亥	1
害	114
骇	1
酣	7
憨	7
邯	1
韩	832
含	323
涵	11
寒	37
函	73
喊	156
罕	2
翰	3
撼	11
捍	1
旱	52
憾	4
悍	1
焊	15
汗	79
汉	159
夯	5
杭	30
航	22
壕	1
嚎	1
豪	4
毫	3
郝	102
好	8876
耗	22
号	1227
浩	54
呵	46
喝	290
荷	84
菏	1
核	250
禾	3
和	72601
何	1061
合	282
盒	54
貉	1
阂	1
河	187
涸	1
赫	5
褐	2
鹤	13
贺	180
嘿	8
黑	275
痕	3
很	6590
狠	47
恨	37
哼	19
亨	2
横	93
衡	18
恒	19
轰	14
哄	23
烘	3
虹	50
鸿	60
洪	198
宏	46
弘	26
红	434
喉	9
侯	229
猴	7
吼	17
厚	105
候	6
后	9533
呼	53
乎	39
忽	49
瑚	1
壶	15
葫	3
胡	1587
蝴	1
狐	7
糊	10
湖	118
弧	3
虎	405
唬	1
护	85
互	110
沪	186
户	1338
花	978
哗	2
华	592
猾	1
滑	90
画	599
划	118
化	108
话	1351
槐	6
徊	1
怀	97
淮	41
坏	214
欢	24
环	178
桓	6
还	10551
缓	106
换	548
患	276
唤	18
痪	1
豢	1
焕	3
涣	1
宦	3
幻	11
荒	27
慌	21
黄	1310
磺	1
蝗	1
簧	1
皇	2
凰	2
惶	1
煌	13
晃	20
幌	1
恍	3
谎	1
灰	33
挥	57
辉	127
徽	5
恢	1
蛔	1
回	1040
毁	165
悔	16
慧	19
卉	2
惠	21
晦	1
贿	5
秽	1
会	6134
烩	2
汇	98
讳	1
诲	1
绘	54
荤	6
昏	24
婚	13
魂	71
浑	10
混	43
豁	12
活	580
伙	44
火	302
获	902
或	4326
惑	10
霍	76
货	187
祸	14
击	34
圾	1
基	24
机	108
畸	1
稽	2
积	127
箕	1
肌	6
饥	10
迹	11
激	18
讥	3
